state,visited
Alabama,0
Alaska,0
Arkansas,0
Arizona,5958
California,0
Colorado,0
Connecticut,0
Delaware,0
Florida,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,328
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,1819
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,3932
New York,4
Ohio,2553
Oklahoma,0
Oregon,0
Pennsylvania,1936
Rhode Island,0
South Carolina,118
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,0
Vermont,0
Washington,1
Wisconsin,850
West Virginia,0
Wyoming,0
